Team,Rank,Assists,Team Games,Per Game,Corners,Fouls,Goals,GA,Diff,PS,psatt,Pct.,Points,Saves,SoG,ShAtt,Shutouts,Won,Loss,Tied,Team Min,GAA
Stetson,441.0,66.0,270.0,55.998000000000005,122.0,262.0,140.0,93.0,4.0,2.0,3.0,2.2110000000000003,103.0,112.0,224.0,560.0,5.0,7.0,7.0,4.0,1640.0,1.701
Stony Brook,264.0,70.0,255.0,51.644,78.0,223.0,128.0,69.0,9.0,3.0,3.0,2.7720000000000002,99.0,190.0,198.0,424.0,5.0,6.0,6.0,5.0,1530.0,1.353
Syracuse,813.0,86.0,300.0,51.1,158.0,235.0,140.0,69.0,12.0,1.0,2.0,2.134,113.0,78.0,216.0,568.0,7.0,9.0,4.0,7.0,1820.0,1.137
Temple,1360.0,30.0,225.0,37.123,59.0,146.0,92.0,108.0,-13.0,0.0,0.0,1.329,61.0,116.0,106.0,280.0,2.0,3.0,8.0,4.0,1350.0,2.4
Tulsa,437.0,36.0,225.0,41.8,75.0,150.0,76.0,72.0,-5.0,3.0,4.0,2.2560000000000002,56.0,100.0,162.0,350.0,3.0,4.0,8.0,3.0,1331.0,1.623
UAB,969.0,20.0,225.0,36.54,70.0,144.0,48.0,93.0,-19.0,1.0,2.0,1.659,34.0,108.0,126.0,322.0,0.0,0.0,11.0,4.0,1350.0,2.067
UAlbany,196.0,38.0,255.0,39.244,88.0,192.0,76.0,66.0,-3.0,3.0,4.0,2.071,57.0,68.0,142.0,364.0,5.0,5.0,11.0,1.0,1530.0,1.294
UC Davis,1272.0,46.0,300.0,43.9,96.0,282.0,92.0,57.0,4.0,3.0,6.0,2.204,69.0,136.0,168.0,452.0,7.0,9.0,7.0,4.0,1840.0,0.929
UC Irvine,1082.0,46.0,300.0,42.1,100.0,236.0,84.0,63.0,0.0,3.0,4.0,2.433,65.0,110.0,194.0,474.0,8.0,9.0,7.0,4.0,1820.0,1.038
UC Riverside,569.0,42.0,270.0,39.992,81.0,233.0,68.0,81.0,-10.0,1.0,1.0,2.472,55.0,148.0,142.0,328.0,4.0,3.0,10.0,5.0,1620.0,1.5
UC Santa Barbara,1111.0,58.0,300.0,48.3,95.0,302.0,128.0,105.0,-3.0,4.0,5.0,2.3850000000000002,93.0,124.0,198.0,500.0,4.0,10.0,8.0,2.0,1800.0,1.75
UCF,515.0,48.0,225.0,50.607,100.0,166.0,124.0,51.0,14.0,3.0,3.0,2.888,86.0,92.0,180.0,424.0,4.0,10.0,3.0,2.0,1350.0,1.133
UCLA,205.0,78.0,255.0,50.644,94.0,171.0,136.0,54.0,16.0,1.0,3.0,2.242,107.0,118.0,224.0,480.0,5.0,9.0,3.0,5.0,1530.0,1.059
UConn,570.0,76.0,270.0,48.722,108.0,195.0,112.0,87.0,-1.0,1.0,1.0,2.565,94.0,116.0,190.0,514.0,4.0,9.0,8.0,1.0,1640.0,1.591
UIC,492.0,70.0,285.0,54.466,111.0,262.0,140.0,63.0,14.0,2.0,4.0,2.367,105.0,160.0,236.0,566.0,6.0,11.0,5.0,3.0,1710.0,1.105
UIW,449.0,48.0,300.0,44.65,99.0,199.0,120.0,90.0,0.0,1.0,4.0,1.926,84.0,152.0,246.0,508.0,4.0,7.0,8.0,5.0,1800.0,1.5
UMBC,334.0,56.0,240.0,48.129999999999995,78.0,192.0,104.0,72.0,2.0,3.0,5.0,2.324,80.0,112.0,184.0,428.0,4.0,7.0,4.0,5.0,1440.0,1.5
UMass Lowell,1326.0,34.0,240.0,41.122,47.0,211.0,92.0,111.0,-14.0,1.0,2.0,1.809,63.0,148.0,132.0,312.0,1.0,2.0,11.0,3.0,1440.0,2.312
UNC Asheville,430.0,76.0,270.0,52.062,91.0,232.0,132.0,78.0,7.0,2.0,3.0,2.502,104.0,162.0,216.0,492.0,4.0,10.0,5.0,3.0,1660.0,1.41
